,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
934,934.0,934.0,1.0,,,22,Steam Achievements,1871750
935,935.0,935.0,2.0,,,23,Steam Cloud,1871750
936,936.0,936.0,0.0,,,2,Single-player,1871760
937,937.0,937.0,0.0,,,2,Single-player,1871780
938,938.0,938.0,0.0,,,2,Single-player,1871790
939,939.0,939.0,1.0,,,13,Captions available,1871790
940,940.0,940.0,0.0,,,2,Single-player,1871810
941,941.0,941.0,0.0,,,2,Single-player,1871830
942,942.0,942.0,0.0,,,2,Single-player,1871880
943,943.0,943.0,1.0,,,22,Steam Achievements,1871880
944,944.0,944.0,2.0,,,23,Steam Cloud,1871880
945,945.0,945.0,0.0,,,2,Single-player,1871910
946,946.0,946.0,1.0,,,21,Downloadable Content,1871910
947,947.0,947.0,2.0,,,23,Steam Cloud,1871910
948,948.0,948.0,0.0,,,2,Single-player,1871920
949,949.0,949.0,0.0,,,2,Single-player,1871000
950,950.0,950.0,0.0,,,2,Single-player,1871010
951,951.0,951.0,1.0,,,18,Partial Controller Support,1871010
952,952.0,952.0,0.0,,,2,Single-player,1871020
953,953.0,953.0,0.0,,,2,Single-player,1871030
954,954.0,954.0,0.0,,,10,Game demo,1871040
955,955.0,955.0,0.0,,,2,Single-player,1871070
956,956.0,956.0,1.0,,,10,Game demo,1871070
957,957.0,957.0,2.0,,,28,Full controller support,1871070
958,958.0,958.0,3.0,,,13,Captions available,1871070
959,959.0,959.0,0.0,,,2,Single-player,1871090
960,960.0,960.0,1.0,,,22,Steam Achievements,1871090
961,961.0,961.0,0.0,,,2,Single-player,1871100
962,962.0,962.0,0.0,,,2,Single-player,1871120
963,963.0,963.0,1.0,,,10,Game demo,1871120
964,964.0,964.0,2.0,,,28,Full controller support,1871120
965,965.0,965.0,0.0,,,2,Single-player,1871130
966,966.0,966.0,1.0,,,21,Downloadable Content,1871130
967,967.0,967.0,2.0,,,22,Steam Achievements,1871130
968,968.0,968.0,3.0,,,23,Steam Cloud,1871130
969,969.0,969.0,4.0,,,14,Commentary available,1871130
970,970.0,970.0,0.0,,,1,Multi-player,1871170
971,971.0,971.0,1.0,,,20,MMO,1871170
972,972.0,972.0,2.0,,,49,PvP,1871170
973,973.0,973.0,3.0,,,36,Online PvP,1871170
974,974.0,974.0,4.0,,,9,Co-op,1871170
975,975.0,975.0,5.0,,,38,Online Co-op,1871170
976,976.0,976.0,0.0,,,10,Game demo,1871200
977,977.0,977.0,1.0,,,18,Partial Controller Support,1871200
978,978.0,978.0,0.0,,,2,Single-player,1871230
979,979.0,979.0,0.0,,,2,Single-player,1871250
980,980.0,980.0,1.0,,,10,Game demo,1871250
981,981.0,981.0,2.0,,,18,Partial Controller Support,1871250
982,982.0,982.0,0.0,,,2,Single-player,1871270
983,983.0,983.0,1.0,,,1,Multi-player,1871270
984,984.0,984.0,2.0,,,49,PvP,1871270
985,985.0,985.0,3.0,,,36,Online PvP,1871270
986,986.0,986.0,4.0,,,9,Co-op,1871270
987,987.0,987.0,5.0,,,38,Online Co-op,1871270
988,988.0,988.0,6.0,,,21,Downloadable Content,1871270
989,989.0,989.0,7.0,,,22,Steam Achievements,1871270
990,990.0,990.0,8.0,,,29,Steam Trading Cards,1871270
991,991.0,991.0,0.0,,,2,Single-player,1871271
992,992.0,992.0,1.0,,,1,Multi-player,1871271
993,993.0,993.0,2.0,,,49,PvP,1871271
994,994.0,994.0,3.0,,,36,Online PvP,1871271
995,995.0,995.0,4.0,,,9,Co-op,1871271
996,996.0,996.0,5.0,,,38,Online Co-op,1871271
997,997.0,997.0,6.0,,,21,Downloadable Content,1871271
998,998.0,998.0,7.0,,,22,Steam Achievements,1871271
999,999.0,999.0,8.0,,,29,Steam Trading Cards,1871271
1000,1000.0,1000.0,0.0,,,2,Single-player,1871290
1001,1001.0,1001.0,0.0,,,2,Single-player,1871300
1002,1002.0,1002.0,1.0,,,1,Multi-player,1871300
1003,1003.0,1003.0,2.0,,,49,PvP,1871300
1004,1004.0,1004.0,3.0,,,36,Online PvP,1871300
1005,1005.0,1005.0,4.0,,,9,Co-op,1871300
1006,1006.0,1006.0,5.0,,,38,Online Co-op,1871300
1007,1007.0,1007.0,6.0,,,21,Downloadable Content,1871300
1008,1008.0,1008.0,7.0,,,22,Steam Achievements,1871300
1009,1009.0,1009.0,8.0,,,29,Steam Trading Cards,1871300
1010,1010.0,1010.0,0.0,,,2,Single-player,1871301
1011,1011.0,1011.0,1.0,,,1,Multi-player,1871301
1012,1012.0,1012.0,2.0,,,49,PvP,1871301
1013,1013.0,1013.0,3.0,,,36,Online PvP,1871301
1014,1014.0,1014.0,4.0,,,9,Co-op,1871301
1015,1015.0,1015.0,5.0,,,38,Online Co-op,1871301
1016,1016.0,1016.0,6.0,,,21,Downloadable Content,1871301
1017,1017.0,1017.0,7.0,,,22,Steam Achievements,1871301
1018,1018.0,1018.0,8.0,,,29,Steam Trading Cards,1871301
1019,1019.0,1019.0,0.0,,,2,Single-player,1871302
1020,1020.0,1020.0,1.0,,,1,Multi-player,1871302
1021,1021.0,1021.0,2.0,,,49,PvP,1871302
1022,1022.0,1022.0,3.0,,,36,Online PvP,1871302
1023,1023.0,1023.0,4.0,,,9,Co-op,1871302
1024,1024.0,1024.0,5.0,,,38,Online Co-op,1871302
1025,1025.0,1025.0,6.0,,,21,Downloadable Content,1871302
