,steam_appid,name,title,description,selection_text,save_text,display_type,is_recurring_subscription,subs
0,612110,default,Buy Sweet fantasy,,Select a purchase option,,0.0,false,"[{'packageid': 163805, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Sweet fantasy - 3,90€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 390}]"
0,612120,default,Buy Darwin's bots: Episode 1,,Select a purchase option,,0.0,false,"[{'packageid': 163808, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': ""Darwin's bots - 7,99€"", 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 799}]"
0,612140,default,Buy Weebish Mines,,Select a purchase option,,0.0,false,"[{'packageid': 163814, 'percent_savings_text': '-50% ', 'percent_savings': 0, 'option_text': 'Weebish Mines - <span class=""discount_original_price"">2,99€</span> 1,49€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 149}]"
0,612150,default,Buy Conran - The dinky Raccoon,,Select a purchase option,,0.0,false,"[{'packageid': 163817, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Conran - The dinky Raccoon - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
0,612160,default,Buy Splinter Zone,,Select a purchase option,,0.0,false,"[{'packageid': 163820, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Splinter Zone - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
0,612170,default,Buy One Eyed Kutkh,,Select a purchase option,,0.0,false,"[{'packageid': 181428, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'One Eyed Kutkh - 2,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 299}]"
0,612190,default,Buy Fastigium: Dead End,,Select a purchase option,,0.0,false,"[{'packageid': 163829, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Fastigium: Dead End - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]"
0,612200,default,Buy TANE DLC: Victorian Railways Type 4 DD Class Pack - Canadian Red,,Select a purchase option,,0.0,false,"[{'packageid': 163832, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'TANE DLC: Victorian Railways Type 4 DD Class Pack - Canadian Red - 10,79€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 1079}]"
0,612210,default,Buy Hacknet - Labyrinths Official Soundtrack,,Select a purchase option,,0.0,false,"[{'packageid': 163835, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Hacknet - Labyrinths Official Soundtrack - 4,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 499}]"
0,612220,default,Buy Chaos Edge,,Select a purchase option,,0.0,false,"[{'packageid': 163838, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Chaos Edge - 6,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 699}]"
0,612250,default,Buy Eastwood VR,,Select a purchase option,,0.0,false,"[{'packageid': 163847, 'percent_savings_text': ' ', 'percent_savings': 0, 'option_text': 'Eastwood VR  - 3,99€', 'option_description': '', 'can_get_free_license': '0', 'is_free_license': False, 'price_in_cents_with_discount': 399}]"
